"filename", "language", "Java", "comment", "blank", "total"
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/MariaDBBugs.java", "Java", -6, -1, -5, -12
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/MariaDBErrors.java", "Java", -17, 0, -6, -23
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/MariaDBOptions.java", "Java", -32, 0, -12, -44
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/MariaDBProvider.java", "Java", -187, 0, -17, -204
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/MariaDBSchema.java", "Java", -201, -1, -44, -246
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBAggregate.java", "Java", -18, 0, -8, -26
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBBinaryOperator.java", "Java", -38, -2, -17, -57
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBColumnName.java", "Java", -11, 0, -7, -18
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBConstant.java", "Java", -73, 0, -34, -107
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBExpression.java", "Java", -3, 0, -3, -6
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBFunction.java", "Java", -16, 0, -8, -24
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBFunctionName.java", "Java", -36, -9, -15, -60
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBInOperation.java", "Java", -21, 0, -9, -30
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBPostfixUnaryOperation.java", "Java", -29, 0, -12, -41
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBSelectStatement.java", "Java", -44, 0, -18, -62
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBStringVisitor.java", "Java", -117, 0, -18, -135
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBText.java", "Java", -20, 0, -7, -27
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBUnaryPrefixOperation.java", "Java", -26, 0, -13, -39
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/ast/MariaDBVisitor.java", "Java", -43, 0, -15, -58
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/mariadb/gen/MariaDBCommon.java", "Java", -13, 0, -6, -19
