Date : 2023-04-17 11:36:38
Directory : /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb
Total : 85 files,  1860 codes, 50 comments, 376 blanks, all 2286 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         85 |      1,860 |         50 |        376 |      2,286 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBFunctionCall.java                  | Java     |         19 |          0 |          9 |         28 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBInOperation.java                   | Java     |         16 |          0 |          8 |         24 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBIndexReference.java                | Java     |         34 |          0 |         10 |         44 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBJoin.java                          | Java     |         58 |          0 |         19 |         77 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBMultiValuedComparison.java         | Java     |         47 |          0 |         18 |         65 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBNotOperation.java                  | Java     |         15 |          0 |          7 |         22 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBOrderingTerm.java                  | Java     |         26 |          0 |         10 |         36 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBRegexOperation.java                | Java     |         31 |          0 |         12 |         43 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBSelect.java                        | Java     |         11 |          0 |          7 |         18 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBTableReference.java                | Java     |         11 |          0 |          7 |         18 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBTypeAnnotation.java                | Java     |         18 |          0 |          8 |         26 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBUnaryArithmeticOperation.java      | Java     |         25 |          0 |         11 |         36 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/ast/CockroachDBUnaryPostfixOperation.java         | Java     |         29 |          0 |         10 |         39 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBCommentOnGenerator.java            | Java     |         53 |          0 |          9 |         62 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBCreateStatisticsGenerator.java     | Java     |         22 |          0 |          7 |         29 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBDeleteGenerator.java               | Java     |         31 |          0 |          6 |         37 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBDropTableGenerator.java            | Java     |         27 |          0 |          9 |         36 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBDropViewGenerator.java             | Java     |         35 |          0 |          7 |         42 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBExpressionGenerator.java           | Java     |        327 |          3 |         32 |        362 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBGenerator.java                     | Java     |         26 |          0 |          8 |         34 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBIndexGenerator.java                | Java     |         62 |          2 |          8 |         72 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBInsertGenerator.java               | Java     |         88 |          4 |         10 |        102 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBRandomQuerySynthesizer.java        | Java     |         69 |          0 |          9 |         78 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBSetClusterSettingGenerator.java    | Java     |         41 |          1 |         11 |         53 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBSetSessionGenerator.java           | Java     |         40 |          7 |         11 |         58 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBShowGenerator.java                 | Java     |         56 |          0 |          7 |         63 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBTableGenerator.java                | Java     |        150 |          2 |         10 |        162 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBTruncateGenerator.java             | Java     |         34 |          1 |          7 |         42 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBUpdateGenerator.java               | Java     |         53 |          0 |         10 |         63 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/gen/CockroachDBViewGenerator.java                 | Java     |         32 |          0 |          6 |         38 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/CockroachDBNoRECOracle.java                | Java     |        146 |          0 |         13 |        159 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/tlp/CockroachDBTLPAggregateOracle.java     | Java     |        182 |          4 |         18 |        204 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/tlp/CockroachDBTLPBase.java                | Java     |         63 |          0 |         10 |         73 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/tlp/CockroachDBTLPDistinctOracle.java      | Java     |         44 |          0 |          8 |         52 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/tlp/CockroachDBTLPExtendedWhereOracle.java | Java     |         56 |          0 |         11 |         67 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/tlp/CockroachDBTLPGroupByOracle.java       | Java     |         46 |          0 |         11 |         57 |
| /home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/cockroachdb/oracle/tlp/CockroachDBTLPHavingOracle.java        | Java     |         53 |          0 |         11 |         64 |
