"filename", "language", "Java", "comment", "blank", "total"
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresCompoundDataType.java", "Java", -35, 0, -11, -46
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresExpectedValueVisitor.java", "Java", -143, -10, -28, -181
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresGlobalState.java", "Java", -124, -4, -26, -154
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresOptions.java", "Java", -72, 0, -17, -89
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresProvider.java", "Java", -308, -13, -29, -350
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresSchema.java", "Java", -276, -6, -46, -328
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresToStringVisitor.java", "Java", -317, -6, -31, -354
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/PostgresVisitor.java", "Java", -104, 0, -28, -132
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresAggregate.java", "Java", -42, -4, -14, -60
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresAlias.java", "Java", -26, 0, -10, -36
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresBetweenOperation.java", "Java", -55, 0, -12, -67
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresBinaryArithmeticOperation.java", "Java", -88, 0, -22, -110
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresBinaryBitOperation.java", "Java", -35, 0, -12, -47
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresBinaryComparisonOperation.java", "Java", -122, 0, -18, -140
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresBinaryLogicalOperation.java", "Java", -78, 0, -11, -89
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresBinaryRangeOperation.java", "Java", -54, 0, -20, -74
"/home/albert/Desktop/NUS/UROP/SQLancer/sqlancer/src/sqlancer/postgres/ast/PostgresCastOperation.java", "Java", -35, 0, -11, -46
